level,zone_id,ds,yhat,yhat_lower,yhat_upper
zone,161,2024-04-04 16:00:00,501.2,432.8,568.7
zone,161,2024-04-04 17:00:00,569.7,500.9,641.0
zone,161,2024-04-04 18:00:00,579.8,511.5,652.3
zone,161,2024-04-04 19:00:00,510.4,437.1,580.9
zone,161,2024-04-04 20:00:00,464.0,397.2,536.8
zone,161,2024-04-04 21:00:00,427.4,358.7,496.7
zone,161,2024-04-04 22:00:00,353.2,283.8,422.5
zone,161,2024-04-04 23:00:00,216.8,148.6,282.1
zone,161,2024-04-05 00:00:00,126.1,54.4,196.5
zone,161,2024-04-05 01:00:00,70.5,3.9,134.1
zone,161,2024-04-05 02:00:00,40.3,0.0,109.4
zone,161,2024-04-05 03:00:00,23.9,0.0,90.5
zone,161,2024-04-05 04:00:00,15.9,0.0,91.3
zone,161,2024-04-05 05:00:00,12.4,0.0,88.0
zone,161,2024-04-05 06:00:00,28.3,0.0,99.8
zone,161,2024-04-05 07:00:00,67.2,0.0,136.3
zone,161,2024-04-05 08:00:00,106.2,37.1,173.4
zone,161,2024-04-05 09:00:00,150.7,83.5,218.3
zone,161,2024-04-05 10:00:00,187.9,114.1,255.5
zone,161,2024-04-05 11:00:00,238.4,169.9,305.5
zone,161,2024-04-05 12:00:00,271.8,202.1,338.3
zone,161,2024-04-05 13:00:00,294.7,230.4,365.6
zone,161,2024-04-05 14:00:00,335.2,263.4,404.3
zone,161,2024-04-05 15:00:00,336.7,269.3,406.2
zone,161,2024-04-05 16:00:00,366.4,299.3,436.5
zone,161,2024-04-05 17:00:00,422.7,354.5,492.6
zone,161,2024-04-05 18:00:00,426.2,357.7,493.5
zone,161,2024-04-05 19:00:00,356.3,287.4,423.7
zone,161,2024-04-05 20:00:00,315.4,246.9,380.9
zone,161,2024-04-05 21:00:00,289.9,221.0,358.7
zone,161,2024-04-05 22:00:00,231.7,157.2,302.4
zone,161,2024-04-05 23:00:00,115.1,45.3,187.6
zone,161,2024-04-06 00:00:00,45.8,0.0,117.8
zone,161,2024-04-06 01:00:00,11.4,0.0,77.9
zone,161,2024-04-06 02:00:00,0.6,0.0,69.1
zone,161,2024-04-06 03:00:00,0.1,0.0,65.6
zone,161,2024-04-06 04:00:00,3.6,0.0,72.1
zone,161,2024-04-06 05:00:00,6.1,0.0,77.9
zone,161,2024-04-06 06:00:00,22.5,0.0,91.3
zone,161,2024-04-06 07:00:00,56.5,0.0,120.1
zone,161,2024-04-06 08:00:00,86.3,18.1,156.8
zone,161,2024-04-06 09:00:00,118.3,53.5,191.1
zone,161,2024-04-06 10:00:00,141.2,72.4,211.1
zone,161,2024-04-06 11:00:00,177.2,110.0,250.6
zone,161,2024-04-06 12:00:00,197.3,126.4,262.6
zone,161,2024-04-06 13:00:00,209.7,133.1,276.1
zone,161,2024-04-06 14:00:00,242.9,173.1,309.3
zone,161,2024-04-06 15:00:00,241.6,174.4,308.7
zone,161,2024-04-06 16:00:00,272.5,205.9,339.9
zone,161,2024-04-06 17:00:00,333.8,266.6,402.9
zone,161,2024-04-06 18:00:00,346.1,278.1,416.2
zone,161,2024-04-06 19:00:00,288.2,223.2,354.2
zone,161,2024-04-06 20:00:00,260.7,191.3,331.7
zone,161,2024-04-06 21:00:00,249.0,184.4,319.8
zone,161,2024-04-06 22:00:00,204.7,130.5,276.8
zone,161,2024-04-06 23:00:00,101.2,34.6,168.0
zone,161,2024-04-07 00:00:00,43.1,0.0,115.5
zone,161,2024-04-07 01:00:00,17.6,0.0,95.0
zone,161,2024-04-07 02:00:00,13.3,0.0,80.0
zone,161,2024-04-07 03:00:00,17.1,0.0,84.4
zone,161,2024-04-07 04:00:00,22.7,0.0,91.8
zone,161,2024-04-07 05:00:00,25.5,0.0,93.4
zone,161,2024-04-07 06:00:00,40.2,0.0,109.4
zone,161,2024-04-07 07:00:00,71.0,5.2,141.6
zone,161,2024-04-07 08:00:00,96.0,25.7,164.3
zone,161,2024-04-07 09:00:00,121.8,53.3,192.1
zone,161,2024-04-07 10:00:00,137.3,66.5,204.7
zone,161,2024-04-07 11:00:00,164.5,89.4,227.9
zone,161,2024-04-07 12:00:00,174.9,110.0,241.9
zone,161,2024-04-07 13:00:00,176.5,108.3,247.7
zone,161,2024-04-07 14:00:00,198.3,124.9,268.0
zone,161,2024-04-07 15:00:00,185.6,113.9,259.1
zone,161,2024-04-07 16:00:00,205.3,136.8,277.0
zone,161,2024-04-07 17:00:00,256.3,191.1,328.0
zone,161,2024-04-07 18:00:00,260.2,190.9,332.5
zone,161,2024-04-07 19:00:00,196.7,125.0,266.0
zone,161,2024-04-07 20:00:00,166.1,102.5,233.2
zone,161,2024-04-07 21:00:00,154.5,85.7,221.0
zone,161,2024-04-07 22:00:00,113.7,44.3,181.6
zone,161,2024-04-07 23:00:00,17.3,0.0,92.4
zone,237,2024-04-01 00:00:00,0.0,0.0,45.1
zone,237,2024-04-01 01:00:00,0.0,0.0,34.3
zone,237,2024-04-01 02:00:00,0.0,0.0,39.2
zone,237,2024-04-01 03:00:00,0.0,0.0,49.9
zone,237,2024-04-01 04:00:00,5.7,0.0,54.6
zone,237,2024-04-01 05:00:00,15.9,0.0,65.2
zone,237,2024-04-01 06:00:00,41.2,0.0,92.6
zone,237,2024-04-01 07:00:00,123.1,67.1,175.2
zone,237,2024-04-01 08:00:00,183.8,132.1,240.0
zone,237,2024-04-01 09:00:00,219.3,168.3,275.2
zone,237,2024-04-01 10:00:00,238.3,187.1,290.5
zone,237,2024-04-01 11:00:00,262.0,209.8,311.5
zone,237,2024-04-01 12:00:00,288.7,236.4,337.9
zone,237,2024-04-01 13:00:00,279.4,227.2,330.7
zone,237,2024-04-01 14:00:00,307.9,255.7,359.9
zone,237,2024-04-01 15:00:00,299.9,245.5,354.7
zone,237,2024-04-01 16:00:00,276.1,226.2,330.6
zone,237,2024-04-01 17:00:00,288.7,239.9,341.6
zone,237,2024-04-01 18:00:00,287.0,235.5,336.3
zone,237,2024-04-01 19:00:00,226.9,175.2,277.2
zone,237,2024-04-01 20:00:00,198.0,141.3,249.8
zone,237,2024-04-01 21:00:00,200.6,148.3,253.7
zone,237,2024-04-01 22:00:00,127.9,77.6,177.3
zone,237,2024-04-01 23:00:00,56.2,3.9,109.4
zone,237,2024-04-02 00:00:00,20.0,0.0,74.6
zone,237,2024-04-02 01:00:00,3.7,0.0,56.7
zone,237,2024-04-02 02:00:00,0.0,0.0,51.1
zone,237,2024-04-02 03:00:00,2.3,0.0,52.3
zone,237,2024-04-02 04:00:00,8.5,0.0,60.0
zone,237,2024-04-02 05:00:00,16.9,0.0,67.2
zone,237,2024-04-02 06:00:00,42.9,0.0,95.3
zone,237,2024-04-02 07:00:00,127.7,77.9,178.2
zone,237,2024-04-02 08:00:00,194.2,142.1,248.0
zone,237,2024-04-02 09:00:00,237.8,183.5,293.7
zone,237,2024-04-02 10:00:00,266.5,215.4,322.0
zone,237,2024-04-02 11:00:00,300.3,250.0,350.9
zone,237,2024-04-02 12:00:00,336.9,290.2,393.3
zone,237,2024-04-02 13:00:00,336.7,283.0,389.5
zone,237,2024-04-02 14:00:00,371.9,322.2,426.8
zone,237,2024-04-02 15:00:00,368.3,318.1,420.5
zone,237,2024-04-02 16:00:00,346.2,292.4,401.4
zone,237,2024-04-02 17:00:00,357.0,303.2,410.4
zone,237,2024-04-02 18:00:00,350.9,298.8,403.0
zone,237,2024-04-02 19:00:00,284.6,232.2,334.8
zone,237,2024-04-02 20:00:00,247.6,194.1,299.5
zone,237,2024-04-02 21:00:00,240.7,188.9,292.8
zone,237,2024-04-02 22:00:00,159.2,108.1,209.0
zone,237,2024-04-02 23:00:00,79.3,25.0,131.3
zone,237,2024-04-03 00:00:00,35.7,0.0,86.5
zone,237,2024-04-03 01:00:00,13.5,0.0,64.1
zone,237,2024-04-03 02:00:00,5.3,0.0,57.7
zone,237,2024-04-03 03:00:00,5.7,0.0,58.9
zone,237,2024-04-03 04:00:00,11.5,0.0,61.4
zone,237,2024-04-03 05:00:00,21.1,0.0,71.3
zone,237,2024-04-03 06:00:00,49.2,1.4,102.0
zone,237,2024-04-03 07:00:00,136.3,86.1,193.2
zone,237,2024-04-03 08:00:00,205.5,151.1,256.2
zone,237,2024-04-03 09:00:00,251.9,198.0,302.5
zone,237,2024-04-03 10:00:00,283.4,229.3,337.2
zone,237,2024-04-03 11:00:00,319.4,267.5,368.7
zone,237,2024-04-03 12:00:00,357.6,307.4,408.5
zone,237,2024-04-03 13:00:00,358.7,308.1,410.9
zone,237,2024-04-03 14:00:00,394.4,344.9,442.1
zone,237,2024-04-03 15:00:00,391.4,336.8,443.4
zone,237,2024-04-03 16:00:00,369.8,317.2,422.2
zone,237,2024-04-03 17:00:00,380.5,328.9,433.1
zone,237,2024-04-03 18:00:00,374.2,318.3,424.5
zone,237,2024-04-03 19:00:00,308.2,257.6,360.1
zone,237,2024-04-03 20:00:00,270.7,220.0,320.2
zone,237,2024-04-03 21:00:00,262.6,206.5,313.1
zone,237,2024-04-03 22:00:00,180.0,123.2,232.3
zone,237,2024-04-03 23:00:00,98.4,47.5,153.5
zone,237,2024-04-04 00:00:00,52.1,0.2,103.3
zone,237,2024-04-04 01:00:00,26.3,0.0,79.7
zone,237,2024-04-04 02:00:00,13.9,0.0,66.9
zone,237,2024-04-04 03:00:00,10.0,0.0,60.5
zone,237,2024-04-04 04:00:00,11.5,0.0,62.0
zone,237,2024-04-04 05:00:00,17.2,0.0,67.7
zone,237,2024-04-04 06:00:00,42.0,0.0,93.3
zone,237,2024-04-04 07:00:00,126.2,75.9,179.5
zone,237,2024-04-04 08:00:00,194.1,141.1,249.4
zone,237,2024-04-04 09:00:00,240.8,185.6,292.6
zone,237,2024-04-04 10:00:00,274.1,220.6,330.0
zone,237,2024-04-04 11:00:00,313.0,258.8,364.6
zone,237,2024-04-04 12:00:00,355.0,300.4,407.0
zone,237,2024-04-04 13:00:00,361.0,310.1,411.4
zone,237,2024-04-04 14:00:00,401.3,350.3,454.6
zone,237,2024-04-04 15:00:00,403.1,351.6,455.7
zone,237,2024-04-04 16:00:00,385.9,335.7,444.6
zone,237,2024-04-04 17:00:00,400.0,351.5,450.6
zone,237,2024-04-04 18:00:00,396.2,345.7,450.4
zone,237,2024-04-04 19:00:00,332.3,281.2,384.0
zone,237,2024-04-04 20:00:00,295.5,246.9,348.2
zone,237,2024-04-04 21:00:00,286.8,234.0,336.9
zone,237,2024-04-04 22:00:00,203.6,148.2,256.3
zone,237,2024-04-04 23:00:00,120.7,71.9,175.1
zone,237,2024-04-05 00:00:00,72.1,18.1,124.7
zone,237,2024-04-05 01:00:00,43.4,0.0,97.2
zone,237,2024-04-05 02:00:00,27.5,0.0,83.8
zone,237,2024-04-05 03:00:00,19.5,0.0,75.1
zone,237,2024-04-05 04:00:00,16.4,0.0,67.5
zone,237,2024-04-05 05:00:00,16.9,0.0,66.4
zone,237,2024-04-05 06:00:00,35.8,0.0,88.2
zone,237,2024-04-05 07:00:00,112.7,63.6,163.6
zone,237,2024-04-05 08:00:00,172.9,119.0,223.9
zone,237,2024-04-05 09:00:00,211.8,161.3,262.3
zone,237,2024-04-05 10:00:00,237.3,185.1,290.0
zone,237,2024-04-05 11:00:00,268.6,216.9,322.7
zone,237,2024-04-05 12:00:00,303.6,249.1,353.1
zone,237,2024-04-05 13:00:00,304.0,253.7,358.7
zone,237,2024-04-05 14:00:00,339.9,287.4,396.6
zone,237,2024-04-05 15:00:00,339.6,290.2,389.3
zone,237,2024-04-05 16:00:00,322.6,270.6,380.6
